Currency,,Amount Owned,Price,Value,Percent of portfolio,Total Portfolio Value
EUBC,0.00071924,,,,,
EUM,0.87089857,,,,,
EUNO,0.01780656,,,,,
EURS,1.12324774,,,,,
EURX,1.10859783,,,,,
EVC,0.00536503,,,,,
EVED,0.02484797,,,,,
EVENCOIN,0.00485889,,,,,
EVN,0.00504626,,,,,
EVOS,0.0005387,,,,,
EVX,0.20834047,,,,,
EVY,0.00054926,,,,,
EVZ,0.00498453,,,,,
EWT,5.7177582,,,,,
EXCC,0.00152632,,,,,
EXCHBEAR,362.1,,,,,
EXCHBULL,2360,,,,,
EXCL,0.04511909,,,,,
EXCOINCIAL,0.63215223,,,,,
EXE,0.0978919,,,,,
EXMOCOIN,0.00253189,,,,,
EXO,0.11580829,,,,,
EXOR,0.0032322,,,,,
EXP,0.02339658,,,,,
EXPERIENCECOIN,0.00005623,,,,,
EXPO,0.00000883,,,,,
EXRN,0.00000883,,,,,
EXRT,0.00099723,,,,,
EXY,0.02819197,,,,,
EZPAY,0.00897834,,,,,
EZY,0.00081566,,,,,
F1C,0.00046773,,,,,
FAB,0.00803481,,,,,
FACE,0.00113504,,,,,
FAIRGAME,0.00210305,,,,,
FAT,0.01280932,,,,,
FBN,0.00008624,,,,,
FCH,0.1337772,,,,,
FCL,0.00000015,,,,,
FCT,1.60805388,,,,,
FDN,0.00008978,,,,,
FDR,0.02684522,,,,,
FDS,0.00008842,,,,,
FDT,0.01364707,,,,,
FDZ,0.00040154,,,,,
FED,0.00000252,,,,,
FET,0.02615465,,,,,
FIDEXEXCHANGE,0.00000018,,,,,
FIH,0.0044027,,,,,
FIT2,0.00008887,,,,,
FIXNETWORK,0.00036811,,,,,
FK,2.34774502,,,,,
FLASH,0.0032322,,,,,
FLC,1.68708147,,,,,
FLETA,0.00929737,,,,,
FLITS,1.32134167,,,,,
FLO,0.02271516,,,,,
FLOT,0.00344617,,,,,
FLP,0.00564288,,,,,
FLS,1.06509334,,,,,
FNB,0.00273829,,,,,
FNT,0.00011473,,,,,
FNX,0.00258498,,,,,
FOAM,0.0161327,,,,,
FOFB,2.59779167,,,,,
FOG,0.11968122,,,,,
FOIN,0.70742678,,,,,
FOOD,0.00035913,,,,,
FORCEPROTOCOL,0.03672499,,,,,
FORESTPLUS,0.01751404,,,,,
FOREX,0.00001986,,,,,
FORTKNOXTER,0.00212153,,,,,
FOTA,0.00054686,,,,,
FOXT,0.01126863,,,,,
FPT,0.00059814,,,,,
FREE,0.00000007,,,,,
FRM,0.03442942,,,,,
FSCC,0.48516342,,,,,
FSN,0.49331026,,,,,
FST,0.48802918,,,,,
FT1,0.00000883,,,,,
FTB,0.00002206,,,,,
FTC,0.0077648,,,,,
FTH,0.00017871,,,,,
FTI,0.00046194,,,,,
FTM,0.00571874,,,,,
FTN,0.01157922,,,,,
FTX,0.01917615,,,,,
FTXBIDEN,0.545,,,,,
FTXTOKEN,2.81449026,,,,,
FUEL,0.00314242,,,,,
FUN,0.00352652,,,,,
FUNTIMECOIN,0.00951704,,,,,
FUZE,48.44582104,,,,,
FXC,0.00372358,,,,,
FXCOIN,0.00206502,,,,,
FXN,0.10594436,,,,,
FXP,0.00025048,,,,,
FXT,0.00061337,,,,,
FXTC,0.05738952,,,,,
FYP,0.01284103,,,,,
FZ,0.00773035,,,,,
FZY,0.0129288,,,,,
FZZ,0.00219818,,,,,
GALI,0.00149287,,,,,
GAME,0.0871801,,,,,
GARD,0.00001517,,,,,
GARK,0.01343611,,,,,
GAS,1.67822882,,,,,
GASTROADVISOR,0.00108548,,,,,
GAT,0.00341177,,,,,
GATE,0.00389673,,,,,
GB,0.00098762,,,,,
GBC,0.00002621,,,,,
GBT,0.00007477,,,,,
GBX,0.02829482,,,,,
GBYTE,19.47659014,,,,,
GC,0.02047061,,,,,
GCG,0.00026877,,,,,
GCH,0.0000009,,,,,
GCR,0.00048481,,,,,
GCZ,0.00691332,,,,,
GDAC,0.00030364,,,,,
GDP,2.07456781,,,,,
GEFT,5.41856742,,,,,
GEN,0.07807457,,,,,
GENES,0.00826712,,,,,
GENIX,0.00035763,,,,,
GENT,0.0000006,,,,,
GENX,0.00003089,,,,,
GEO,0.24448008,,,,,
GET,0.00357607,,,,,
GEX,0.00000221,,,,,
GFNCASH,0.00008978,,,,,
GFUN,0.00101808,,,,,
GGC,42.14466717,,,,,
GHOST,1.36284689,,,,,
GIC,0.01427579,,,,,
GIG,0.0198872,,,,,
GIO,0.00032318,,,,,
GJCO,0.0037709,,,,,
GLDX,0.08807747,,,,,
GLEEC,0.12062179,,,,,
GLEX,0.00052509,,,,,
GLOB,14.4031944,,,,,
GLOBAL,0.00017957,,,,,
GLT,0.0005387,,,,,
GMAC,12.45141723,,,,,
GMAT,0.00070843,,,,,
GMB,0.00011202,,,,,
GMCI,0.0000066,,,,,
GNO,22.64058156,,,,,
GNT,0.0496768,,,,,
GNX,0.01031503,,,,,
GNY,0.03618269,,,,,
GO,0.01105046,,,,,
GOB,0.01490404,,,,,
GOD,4.13003445,,,,,
GOM2,0.00964007,,,,,
GON,0.00244895,,,,,
GOOC,0.00028012,,,,,
GOS,0.24681398,,,,,
GOSS,0.00235758,,,,,
GOT,0.03604355,,,,,
GOXT,0.00439938,,,,,
GPKR,0.00305263,,,,,
GPS,0.01741797,,,,,
GQC,0.0015748,,,,,
GRFT,0.00026935,,,,,
GRIN,0.45559481,,,,,
GRN,0.00202013,,,,,
GRS,0.17502081,,,,,
GRT,0.00008978,,,,,
GSC,0.00522905,,,,,
GSR,0.01634057,,,,,
GST,0.00116718,,,,,
GT,0.48802648,,,,,
GTC,0.01053963,,,,,
GTM,0.0156223,,,,,
GTN,0.36581336,,,,,
GTO,0.01069823,,,,,
GTX,0.48411,,,,,
GUAP,0.0474954,,,,,
GUNTHY,0.07990719,,,,,
GUSD,0.99041549,,,,,
GUSS,0.00008896,,,,,
GUTS,0.49640343,,,,,
GVE,0.00017418,,,,,
GVT,1.07165084,,,,,
GWP,0.00178815,,,,,
GXC,0.47458153,,,,,
GXE,0.00062848,,,,,
GXT,0.16340571,,,,,
GXX,0.02882973,,,,,
GZRO,0.00008978,,,,,
HAL,0.0008825,,,,,
HAND,0.00000022,,,,,
HAPPY,0.00601548,,,,,
HAPY,0.00997228,,,,,
HARMONY,0.00394701,,,,,
HASH2,0.00017957,,,,,
HAVY,0.00000221,,,,,
HB,0.00510805,,,,,
HBAR,0.03726415,,,,,
HBC,3.2007767,,,,,
HBD,0.95691102,,,,,
HBT,0.05723913,,,,,
HC,1.07698618,,,,,
HCA,0.29790118,,,,,
HDAC,0.02356541,,,,,
HDI,25.846828,,,,,
HDS,0.00000576,,,,,
HELP,0.00227206,,,,,
HELPICO,0.0818,,,,,
HER,0.00015049,,,,,
HERB,0.00000221,,,,,
HERC,0.00351982,,,,,
HEX2,0.00278524,,,,,
HG,0.00032399,,,,,
HIBS,0.0005964,,,,,
HILK,0.00000441,,,,,
HIT,0.00009327,,,,,
HIVE,0.00089133,,,,,
HLF,0.32109632,,,,,
HLIX,0.0113127,,,,,
HLS,0.00026752,,,,,
HMQ,0.00477938,,,,,
HMR,0.42030754,,,,,
HNC,0.31182311,,,,,
HNDC,0.0000009,,,,,
HNI,0.00001324,,,,,
HNS,0.08101122,,,,,
HNT,0.07632037,,,,,
HODL,0.0000706,,,,,
HOLD,0.00004633,,,,,
HOMI,9.65245421,,,,,
HOR,0.00011914,,,,,
HOSP,0.00089783,,,,,
HOT,0.00093814,,,,,
HP,0.57654363,,,,,
HPB,0.10026637,,,,,
HPOT,0.00019938,,,,,
HPT,0.00536556,,,,,
HQT,0.00036844,,,,,
HQX,0.00186649,,,,,
HRD,0.00937509,,,,,
HRT,0.01046751,,,,,
HT,4.10373619,,,,,
HTB,0.00196972,,,,,
HTBEAR,244.4,,,,,
HTBULL,267.2,,,,,
HTML,0.00006674,,,,,
HTT,0.00000441,,,,,
HUBBS,0.00000221,,,,,
HUM,0.00916384,,,,,
HUNT,0.00242415,,,,,
HUSD,1.00163299,,,,,
HUSH,0.0562459,,,,,
HUSL,0.00042406,,,,,
HVN,0.0061051,,,,,
HWC,0.00008978,,,,,
HWI,0.09876169,,,,,
HYC,0.00319095,,,,,
HYDRO,0.0002722,,,,,
HYN,0.50666843,,,,,
HYP,0.00055328,,,,,
HYPRO,0.00598945,,,,,
HYPX,0.00000007,,,,,
IBTC3,0.00007284,,,,,
IBVOL,4315,,,,,
IC,0.13476482,,,,,
ICH,4.04053959,,,,,
ICNQ,0.24193058,,,,,
ICOC,5.18470417,,,,,
ICOL,0.00044892,,,,,
ICR,0.00098762,,,,,
ICX,0.28269298,,,,,
IDH,0.00297219,,,,,
IDRT,0.00006913,,,,,
IDT,0.0023087,,,,,
IDXM,143.8068161,,,,,
IETH2,0.05192268,,,,,
IETH20SMACO,103.77,,,,,
IFC,0.00000449,,,,,
IFV,0.00251393,,,,,
IFX24,0.01633954,,,,,
IGG,0.0000995,,,,,
IGNIS,0.02330892,,,,,
IHF,0.09867846,,,,,
IHT,0.00100034,,,,,
IIC,0.0001927,,,,,
ILC,0.02593922,,,,,
ILK,0.00165316,,,,,
IMBTC,8797.618526,,,,,
IMG,0.04529895,,,,,
IMGC,0.01221042,,,,,
IMP2,0.00251402,,,,,
IMPL,0.00718267,,,,,
IMT,0.00004192,,,,,
INB,0.44119542,,,,,
INC,0.00385955,,,,,
INF,0.02589915,,,,,
INFO,0.00009009,,,,,
INFT,0.00041268,,,,,
INK,0.00099691,,,,,
INN,0.02720436,,,,,
INNBC,0.00000002,,,,,
INNBCL,0.0002537,,,,,
INS,0.13422612,,,,,
INSN,0.00321399,,,,,
INSTAR,0.01391642,,,,,
INT,0.01073014,,,,,
INVE,0.00054274,,,,,
INXT,0.97855915,,,,,
IOC,0.06509293,,,,,
IONC,0.05196825,,,,,
IOST,0.00547678,,,,,
IOT,0.20141654,,,,,
IOTX,0.00465891,,,,,
IOUX,0.01292415,,,,,
IOV,0.00006464,,,,,
IPL,0.00118334,,,,,
IPS,0.00026935,,,,,
IPX,0.07413769,,,,,
IQ,0.00168703,,,,,
IQCASH,0.03152214,,,,,
IRD,0.0032273,,,,,
IRIS,0.0209464,,,,,
ISR,0.00296406,,,,,
IST,0.00197523,,,,,
ITAM,0.00466873,,,,,
ITC,0.10647266,,,,,
ITI,1.1064901,,,,,
ITL,0.0000018,,,,,
ITO,9.7074209,,,,,
ITT,0.00224458,,,,,
IWAY,0.00000181,,,,,
IX,0.00002451,,,,,
IXC,0.07164108,,,,,
IXT,0.00336772,,,,,
JACK,0.05850773,,,,,
JAN,0.00305263,,,,,
JAR,0.00308216,,,,,
JDC,0.10333589,,,,,
JET,0.0287558,,,,,
JMC,0.00000073,,,,,
JNB,88.46075891,,,,,
JNT,0.02648257,,,,,
JOB,0.00008071,,,,,
JOB2,0.00001077,,,,,
JOINT,0.00165249,,,,,
JOOS,0.00026935,,,,,
JOY,0.0145613,,,,,
JPX,33.19678,,,,,
JRT,0.10951164,,,,,
JS,0.00129288,,,,,
JT,0.00002206,,,,,
JUL,0.03623363,,,,,
JUMP,0.00341177,,,,,
JWL,0.29899679,,,,,
KAASO,0.00061775,,,,,
KAI2,0.00232822,,,,,
KALI,0.00017957,,,,,
KAN,0.00288395,,,,,
KAT,0.00152632,,,,,
KAVA,1.08864618,,,,,
KBC,0.00366841,,,,,
KBOT,0.05360066,,,,,
KCASH,0.01313745,,,,,
KCS,0.84135993,,,,,
KDA,0.41156691,,,,,
KEC,0.01535295,,,,,
KED,0.00125697,,,,,
KEK,0.02370281,,,,,
KEMA,0.00036273,,,,,
KEY,0.0011172,,,,,
KEY2,0.0008119,,,,,
KICK,0.00001465,,,,,
KIN,0.00000734,,,,,
KIND,0.00097864,,,,,
KISC,0.00087809,,,,,
KIT,0.00000441,,,,,
KK,0.00023166,,,,,
KLKS,0.0037709,,,,,
KMD,0.5943146,,,,,
KNC,1.06439253,,,,,
KNOW,0.00136869,,,,,
KNT,0.00001324,,,,,
KOD,0.00017957,,,,,
KORE,0.0140062,,,,,
KORIS,0.0189412,,,,,
KOTO,0.00089783,,,,,
KOUMEI,0.0001257,,,,,
KRB,0.04440612,,,,,
KREDS,0.00008978,,,,,
KRL,0.09954708,,,,,
KRT,0.00082334,,,,,
KSC,0.01495358,,,,,
KSH,0.00260372,,,,,
KST,0.00015263,,,,,
KTETH,0.05018858,,,,,
KTS,0.08188242,,,,,
KUBO,0.00000502,,,,,
KUKY,0.00553851,,,,,
KVI,0.00514902,,,,,
KWH,0.00000662,,,,,
KXC,0.00000221,,,,,
KYD2,0.00439938,,,,,
KZC,0.04659756,,,,,
KZE,0.12134414,,,,,
LA,0.02201359,,,,,
LABX,0.05099695,,,,,
LAMB,0.01674167,,,,,
LAMBO,0.00000008,,,,,
LATX,0.00098762,,,,,
LBA,0.01177439,,,,,
LBC,0.02783284,,,,,
LBTC,1.34845357,,,,,
LC,0.00008709,,,,,
LCC,0.00394779,,,,,
LCP,0.03537464,,,,,
LCX,0.00867183,,,,,
LDCN,0.00035913,,,,,
LEDU,0.00468175,,,,,
LEGA,118.43,,,,,
LELOAP,135.77,,,,,
LEMO,0.00253031,,,,,
LEND,0.12036782,,,,,
LEOBEAR,13320,,,,,
LEOBULL,392.2,,,,,
LEOTOKEN,1.23774613,,,,,
LET,0.00428177,,,,,
LEV,0.01599536,,,,,
LEVL,0.11223028,,,,,
LGO,0.00794253,,,,,
LHCOIN,0.00281298,,,,,
LHT,0.00080803,,,,,
LIB,0.00000221,,,,,
LICC,0.00046522,,,,,
LIF,0.06470363,,,,,
LIKE,0.00375468,,,,,
LINA,0.02124014,,,,,
LINDA,0.00017957,,,,,
LINK,4.40645892,,,,,
LINKA,0.0053999,,,,,
LINKBEAR,3.971,,,,,
LINKBULL,796.75,,,,,
LINKETHPA,187.51,,,,,
LINKETHRSI,74.31,,,,,
LINKPT,120.62,,,,,
LINKRSICO,62.15,,,,,
LIT,0.05465037,,,,,
LITB,0.00080805,,,,,
LITHIUM,0.00008978,,,,,
LIZA,0.00000002,,,,,
LKK,0.01145658,,,,,
LKN,0.00029564,,,,,
LKU,0.00012461,,,,,
LMCH,0.0649567,,,,,
LMY,0.00050118,,,,,
LN,17.95676129,,,,,
LNC,0.00745202,,,,,
LND,0.00105455,,,,,
LNK,13.46570797,,,,,
LNKO,0.00035878,,,,,
LOBS,0.021548,,,,,
LOC,0.24790785,,,,,
LOG,0.05321988,,,,,
LOKI,0.32577054,,,,,
LOL,0.00037529,,,,,
LOOM,0.01840452,,,,,
LOT,0.00721334,,,,,
LOTEU,0.00014782,,,,,
LOTO,0.00020087,,,,,
LPS,0.00166151,,,,,
LPT,2.38934362,,,,,
LQD,0.01461032,,,,,
LRC,0.07369108,,,,,
LRM,0.00008437,,,,,
LSK,1.0959037,,,,,
LST7,0.00257587,,,,,
LSV,0.19605034,,,,,
LTB,0.01355729,,,,,
LTC,40.86673321,,,,,
LTCBEAR,1416,,,,,
LTCBULL,2.215,,,,,
LTFN,0.00017957,,,,,
LTHN,0.00017957,,,,,
LTO,0.04886466,,,,,
LUCKY,0.0025019,,,,,
LUCKYBIT,0.00028731,,,,,
LUD,0.00014867,,,,,
LUN,1.21165839,,,,,
LUNA,0.20960253,,,,,
LUNES,0.00502092,,,,,
LUX,0.06195052,,,,,
LVN,0.0064,,,,,
LVT,0.00125697,,,,,
LVTC,0.00012796,,,,,
LXMT,0.00000221,,,,,
LXT,0.00217215,,,,,
LYM,0.00294067,,,,,
LYNX,0.00002694,,,,,
LYRA,0.03070591,,,,,
LYTX,0.00044892,,,,,
LYXE,0.26236809,,,,,
LZE,0.000216,,,,,
MACPO,0.007893,,,,,
MAGICCUBE,0.00008083,,,,,
MAID,0.101486,,,,,
MALW,0.2567804,,,,,
MAN,0.01502958,,,,,
MANA,0.03722509,,,,,
MANNA,0.00052094,,,,,
MANO,0.00439938,,,,,
MAPC,0.01885451,,,,,
MAPR,140.6365196,,,,,
MAR,0.00361213,,,,,
MARC,0.00125697,,,,,
MARTK,0.02539617,,,,,
MAS,0.00155541,,,,,
MASH,0.00019415,,,,,
MATIC,0.01963823,,,,,
MATICBEAR,0.2029,,,,,
MATICBULL,7.1,,,,,
MATO,0.00000221,,,,,
MATREXCOIN,0.00520743,,,,,
MAXTOKEN,0.10867909,,,,,
MB,0.00018072,,,,,
MBGL,0.00062848,,,,,
MBL,0.00167243,,,,,
MBS,0.01416886,,,,,
MCASH,0.00211925,,,,,
MCH,0.07618019,,,,,
MCM,0.04561384,,,,,
MCN,0.00026935,,,,,
MCO,4.11681768,,,,,
MCPC,0.00854297,,,,,
MCR,0.02415172,,,,,
MCT,0.00048623,,,,,
MDA,0.41930916,,,,,
MDB,0.00224458,,,,,
MDS,0.00333383,,,,,
MDT,0.00865245,,,,,
MDTK,0.0016161,,,,,
ME,0.02244584,,,,,
MED,0.00382994,,,,,
MEDIBIT,0.00000104,,,,,
MEDIC,0.00004443,,,,,
MEDICALTOKENCURRENCY,0.00395066,,,,,
MEET,0.00662157,,,,,
MEME,0.0086192,,,,,
MER,0.00601548,,,,,
MERGE,0.00664397,,,,,
MERI,0.10503318,,,,,
MES,0.00011693,,,,,
META,0.00664392,,,,,
METACOIN,0.02262541,,,,,
METM,0.00017871,,,,,
MEX,0.00030167,,,,,
MEXC,0.00102084,,,,,
MFC,0.00502987,,,,,
MFCK,156.78,,,,,
MFG,0.01010113,,,,,
MFT,0.00089176,,,,,
MGCTOKEN,0.00139656,,,,,
MGX,0.0071593,,,,,
MHC,0.0037151,,,,,
MHLX,0.00116718,,,,,
MHSP,0.00895866,,,,,
MIB,0.00542967,,,,,
MIC3,0.00000009,,,,,
MICRO,0.0000011,,,,,
MICROBTC,0.00005228,,,,,
MIDAS,0.90629192,,,,,
MIDBEAR,91,,,,,
MIDBULL,385.6,,,,,
MIG,0.00013952,,,,,
MIN,1.69837731,,,,,
MINDS,0.00008978,,,,,
MINX,0.08466571,,,,,
MIR,0.00236113,,,,,
MITH,0.00534599,,,,,
MITX,0.0085862,,,,,
MIX,0.00318642,,,,,
MKEY,0.12659453,,,,,
MKR,438.6902496,,,,,
MLN,12.46482622,,,,,
MLR,0.04327794,,,,,
MMO,0.00232016,,,,,
MNC,0.00645016,,,,,
MNG,0.00008978,,,,,
MNP,0.00134675,,,,,
MNS,0.00180953,,,,,
MOC,0.0179443,,,,,
MODEX,0.00311649,,,,,
MODL,0.41849704,,,,,
MODX,0.00395047,,,,,
MOF,0.1835187,,,,,
MOG,0.01032095,,,,,
MOGX,0.03564769,,,,,
MOIN,0.00511765,,,,,
MOJO,0.00125697,,,,,
MOLK,0.00350155,,,,,
MON,0.03096628,,,,,
MONA,1.68927471,,,,,
MONETA,0.00008604,,,,,
MONK,0.01665274,,,,,
MOON,0.00000768,,,,,
MOR,0.00044892,,,,,
MORE,0.01382664,,,,,
MOTA,0.00098471,,,,,
MOZOX,0.00005118,,,,,
MPAY,0.01045172,,,,,
MPG,0.00215701,,,,,
MRC,0.00008978,,,,,
MRI,0.0012769,,,,,
MRPH,0.26127656,,,,,
MSCN,0.00008141,,,,,
MSD,0.00601548,,,,,
MSR,0.01391989,,,,,
MT,0.0010627,,,,,
MTCMESHNETWORK,0.00098762,,,,,
MTCN,0.09056429,,,,,
MTH,0.00731796,,,,,
MTL2,0.29430003,,,,,
MTN,0.00301759,,,,,
MTNS,0.0001937,,,,,
MTV,0.00033245,,,,,
MTX,0.03237212,,,,,
MUE,0.0043096,,,,,
MUSIC,0.00009876,,,,,
MUSK,0.00080679,,,,,
MVC,0.00188545,,,,,
MVL,0.0003935,,,,,
MVP,0.00018407,,,,,
MVT,0.00179148,,,,,
MWAT,0.00341905,,,,,
MWC,17.02407455,,,,,
MXC,0.00662483,,,,,
MXM,0.00014782,,,,,
MXT,0.0043096,,,,,
MYNT,0.00002694,,,,,
MYO,0.04797506,,,,,
MYST,0.0606217,,,,,
MYU,0.06248922,,,,,
N8V,0.03545792,,,,,
NACA,0.00026935,,,,,
NAH,0.00089783,,,,,
NAMTOKEN,0.00003971,,,,,
NANJ,0.00001284,,,,,
NANO,0.94136486,,,,,
NAS,0.34828024,,,,,
NAV,0.11150334,,,,,
NAVY,0.00125697,,,,,
NAX,0.00156594,,,,,
NBAI,0.00038609,,,,,
NBC,0.00650363,,,,,
NBR,0.00036541,,,,,
NCASH,0.0003113,,,,,
NCC,0.00084611,,,,,
NCT,0.00137328,,,,,
NDIO,0.00013292,,,,,
NDT,0.00026935,,,,,
NDX,0.00000214,,,,,
NEBL,0.54430664,,,,,
NEC,0.10867984,,,,,
NEET,0.0016161,,,,,
NEEX,0.34666152,,,,,
NEO,9.65611086,,,,,
NEST,0.01904733,,,,,
NET2,0.16448311,,,,,
NEU,0.11752412,,,,,
NEW,0.00063151,,,,,
NEWOS,0.00033976,,,,,
NEX,0.84484447,,,,,
NEXO,0.18707319,,,,,
NEXT,0.09885148,,,,,
NG,0.00008978,,,,,
NGC,0.03185514,,,,,
NGOT,0.00018312,,,,,
NILU,0.00276233,,,,,
NIM,0.00215054,,,,,
NIO2,0.00035913,,,,,
NIX,0.05846797,,,,,
NKC,0.00541857,,,,,
NKN,0.02120398,,,,,
NLC2,0.00179387,,,,,
NLG,0.00817029,,,,,
NMN,0.00170588,,,,,
NMP,2.20625268,,,,,
NMR,20.85858009,,,,,
NNC,0.00854544,,,,,
NOA,0.09133904,,,,,
NOBS,0.0000353,,,,,
NODE,0.00135483,,,,,
NOIANETWORK,0.01678896,,,,,
NOIZ,0.01849537,,,,,
NOKN,0.01571958,,,,,
NOKU,0.03673074,,,,,
NOR,0.01517326,,,,,
NOS,0.01064063,,,,,
NOTE,0.00002206,,,,,
NOVA,0.00000808,,,,,
NOVACHAIN,0.00260686,,,,,
NPCOIN,0.05961615,,,,,
NPLC,0.00012731,,,,,
NPW,0.00870895,,,,,
NPXS,0.00013894,,,,,
NPXSXEM,0.00013577,,,,,
NRG,1.91622309,,,,,
NRP,0.00000165,,,,,
NRVE,0.00024931,,,,,
NSD,0.05290975,,,,,
NSG,0.0032322,,,,,
NST,0.00448917,,,,,
NT,0.0145449,,,,,
NTBC,0.00002132,,,,,
NTK,0.00803404,,,,,
NTK2,0.00000269,,,,,
NTM,0.00000051,,,,,
NTRN,0.00506378,,,,,
NUG,0.00080805,,,,,
NUKO,0.00035913,,,,,
NULS,0.46151159,,,,,
NUT,21.94125692,,,,,
NUVO,0.00005118,,,,,
NVC,0.14850167,,,,,
NVT,0.00009906,,,,,
NWC,0.02488067,,,,,
NXCT,0.00004413,,,,,
NXS,0.17957132,,,,,
NXT,0.01047938,,,,,
NYC,0.00000883,,,,,
NYE,8.87920024,,,,,
NYEX,0.00026935,,,,,
NYX,0.0073295,,,,,
NYZO,0.23574614,,,,,
NZL,0.00125697,,,,,
NZO,0.01104335,,,,,
OAX,0.04040275,,,,,
OBITS,0.02980807,,,,,
OCE,0.00116718,,,,,
OCEAN,0.06635942,,,,,
OCN,0.00028606,,,,,
ODE,0.0457253,,,,,
ODEX,0.00000027,,,,,
OES,0.00116718,,,,,
OGN,0.24642862,,,,,
OGO,0.01218198,,,,,
OGODS,0.00010149,,,,,
OHMC,0.00098762,,,,,
OIL,0.01561818,,,,,
OK,0.02490046,,,,,
OKB,4.99819989,,,,,
OKBBEAR,6.9925,,,,,
OKBBULL,1344,,,,,
OKNC,0.00008891,,,,,
OKS,0.00087357,,,,,
OLT,0.00350341,,,,,
OLXA,0.00019539,,,,,
OMEGA,0.00026935,,,,,
OMG,1.35938392,,,,,
OMNI,1.39750737,,,,,
ONE2,0.00184104,,,,,
ONLEXPA,0.00003309,,,,,
ONT,0.58850726,,,,,
ONTGAS,0.2186908,,,,,
OOT,0.00221287,,,,,
OPCX,0.00026935,,,,,
OPEN,0.00063058,,,,,
OPET,0.00960682,,,,,
OPQ,0.00635481,,,,,
OPT,0.00125786,,,,,
OPTI,0.00502787,,,,,
ORBS,0.01637506,,,,,
ORC,0.00411908,,,,,
ORE,0.00152632,,,,,
ORM,0.00000662,,,,,
ORME,0.02274212,,,,,
ORS,0.00396868,,,,,
OS76,0.00287307,,,,,
OSC,0.00186342,,,,,
OST,0.0082164,,,,,
OTB,0.0021548,,,,,
OUNA,0.01005574,,,,,
OURO,0.0208,,,,,
OWC,0.11919329,,,,,
OWO,0.00017957,,,,,
OXT,0.15449795,,,,,
P2P,0.00059348,,,,,
P2PX,0.00026881,,,,,
P2T,0.00000221,,,,,
PAA,0.00000831,,,,,
PAC,0.0001144,,,,,
PAI,0.01479358,,,,,
PAISA,0.0000018,,,,,
PAK,0.00332198,,,,,
PAMP,0.00073468,,,,,
PAN,0.01884857,,,,,
PANCHO,0.00004941,,,,,
PANDA,0.00036396,,,,,
PANTOS,0.02111757,,,,,
PAR,0.00020518,,,,,
PARALLELCOIN,0.1632666,,,,,
PARKGENE,0.00006195,,,,,
PART,0.64608104,,,,,
PASC,0.04282666,,,,,
PASS,0.00089774,,,,,
PAX,1.00202906,,,,,
PAXEX,0.00036024,,,,,
PAXG,1778.657554,,,,,
PAY,0.04545123,,,,,
PAZZI,0.07384387,,,,,
PBL,0.00396906,,,,,
PBTT,0.01526317,,,,,
PC,0.00005642,,,,,
PCI,0.14699531,,,,,
PCL,0.0016891,,,,,
PCPIE,0.00000441,,,,,
PCT,0.00035913,,,,,
PCX,1.03276042,,,,,
PDATA,0.00017957,,,,,
PEC,0.00008978,,,,,
